;osmid;y;x;street_cou;lon;lat;elevation;highway;geometry
2836;598967731.0;5155873.75328614;317020.7565901026;3;6.6139269;46.5315383;511.9989013671875;;POINT (317020.7565901026 5155873.75328614)
2837;598974886.0;5155703.15754035;317210.4202138613;3;6.6164651;46.5300559;514.642822265625;;POINT (317210.4202138613 5155703.15754035)
2838;599509090.0;5155711.169507551;317206.95492837345;3;6.6164168;46.530127;514.850341796875;;POINT (317206.95492837345 5155711.16950755)
2839;599198668.0;5156111.625935739;317211.7920922086;3;6.6163222;46.5337291;561.0064086914062;;POINT (317211.7920922086 5156111.625935739)
2840;599198747.0;5156086.828102683;317226.7922532388;3;6.6165274;46.5335102;560.2030639648438;;POINT (317226.7922532388 5156086.828102683)
2841;599016883.0;5156549.446550561;317528.0408373185;3;6.6202706;46.5377517;602.4947509765626;;POINT (317528.0408373185 5156549.446550561)
2842;599024038.0;5156688.931267642;317405.2841021707;3;6.6186162;46.5389726;602.638916015625;;POINT (317405.2841021707 5156688.931267642)
2843;599509390.0;5155778.122290927;317376.30356547586;2;6.6185968;46.530775;537.0890502929688;;POINT (317376.30356547586 5155778.122290927)
2844;5555928569.0;5156479.693274097;319112.5948264665;3;6.640945;46.5375524;649.6760864257812;;POINT (319112.5948264665 5156479.693274097)
2845;5555928575.0;5156490.981780644;319110.3460967808;3;6.6409113;46.5376533;649.9549560546875;;POINT (319110.3460967808 5156490.981780644)
2846;630617864.0;5156729.628190478;319482.3464560962;3;6.6456658;46.5398991;652.34033203125;;POINT (319482.3464560962 5156729.628190478)
2847;626623192.0;5156910.523191127;319198.6710898566;3;6.6418988;46.5414495;626.7430419921875;;POINT (319198.6710898566 5156910.523191127)
2848;626623241.0;5156901.801550307;319226.66559015494;3;6.642267;46.5413786;627.618896484375;;POINT (319226.66559015494 5156901.801550307)
2849;599447476.0;5156872.862230709;319460.1998379591;2;6.6453215;46.5411811;653.6707763671875;crossing;POINT (319460.1998379591 5156872.862230709)
2850;599509084.0;5155660.270915451;317287.1017125654;3;6.617481;46.5296911;520.0284423828125;;POINT (317287.1017125654 5155660.270915451)
2851;599509095.0;5155727.362202227;317199.9604051964;3;6.6163193;46.5302707;515.24658203125;;POINT (317199.9604051964 5155727.362202226)
2852;599509266.0;5155677.052574524;317316.95238810417;3;6.6178633;46.5298501;524.3970336914062;;POINT (317316.95238810417 5155677.052574524)
2853;599525588.0;5155674.596321991;317312.84852394275;3;6.6178108;46.5298269;523.7990112304688;;POINT (317312.84852394275 5155674.596321991)
2854;599509282.0;5155746.002973414;317270.60903035745;3;6.6172324;46.5304575;527.4586181640625;;POINT (317270.60903035745 5155746.002973414)
2855;599509316.0;5155772.9000339685;317318.67175190884;4;6.617848;46.5307124;537.3258056640625;;POINT (317318.67175190884 5155772.9000339685)
2856;599509332.0;5155689.9572617635;317338.5573864968;3;6.6181397;46.529972;527.5543823242188;;POINT (317338.5573864968 5155689.9572617635)
2857;599509337.0;5155707.4486367665;317357.43006206525;3;6.6183787;46.5301344;530.783935546875;;POINT (317357.43006206525 5155707.4486367665)
2858;599526178.0;5155449.157042065;317576.7561853236;3;6.6213376;46.5278714;528.7374877929688;;POINT (317576.7561853236 5155449.157042065)
2859;599571196.0;5155423.482789778;317594.67309300986;3;6.6215811;46.5276454;527.6994018554688;;POINT (317594.67309300986 5155423.482789778)
2860;599562605.0;5155400.8000637;317520.3693058053;3;6.620622;46.5274213;526.3947143554688;;POINT (317520.3693058053 5155400.8000637)
2861;599562644.0;5155453.754144273;317461.55682185094;3;6.619835;46.5278815;526.0604248046875;;POINT (317461.55682185094 5155453.754144274)
2862;599568100.0;5155468.407881893;317488.6111155529;3;6.6201817;46.5280206;527.51806640625;;POINT (317488.6111155529 5155468.407881894)
2863;599571124.0;5155475.473161581;317495.5098868918;3;6.6202688;46.528086;528.158447265625;;POINT (317495.5098868918 5155475.473161581)
2864;599571221.0;5155460.346650412;317568.9570728879;3;6.6212316;46.5279699;528.9962158203125;;POINT (317568.9570728879 5155460.346650412)
2865;599706336.0;5156397.338661483;318661.3324492355;3;6.6350971;46.5366904;609.6427612304688;;POINT (318661.3324492355 5156397.338661483)
2866;599680027.0;5156445.910206767;318655.9657640954;3;6.6350082;46.5371257;609.91357421875;;POINT (318655.9657640954 5156445.910206767)
2867;599706488.0;5156589.437209942;318627.8902743966;3;6.6345863;46.5384087;611.5532836914062;;POINT (318627.89027439663 5156589.437209942)
2868;599577908.0;5156715.08389142;318557.4635867949;3;6.6336195;46.5395195;609.31005859375;;POINT (318557.4635867949 5156715.08389142)
