;x_3857;y_3857
133;737490.9474565435;5862070.511023213
134;737471.3774900622;5862084.145789805
135;736743.3814161214;5863094.552160724
136;737036.2073366531;5863384.931828682
137;737119.7971422897;5862273.498168504
138;737132.5320920366;5862278.819567866
139;737253.9593925938;5862208.525597757
140;737634.8835581393;5861972.9332929645
141;737593.1944088371;5862000.930372804
142;737641.1508454708;5861968.485469308
143;737963.1313406415;5863729.789353717
144;737958.9457277874;5863712.123933607
145;738008.4049775471;5863773.500097108
146;737974.6529079386;5863747.001848486
147;738049.9382795619;5863803.233880224
148;738184.1450576624;5863865.160711137
149;738309.1902416706;5864012.262949577
150;738287.4718090167;5864013.07183265
151;738444.688325864;5864225.406214317
152;738438.5768858196;5864223.950189663
153;738562.3196317853;5864227.234334505
154;738830.9892228148;5864360.979344435
155;738839.0932817447;5864726.551871883
156;738663.6537642544;5863946.856910447
157;738814.3246950431;5864073.51178662
158;738848.2214799898;5864177.567841619
159;738848.3995911749;5864182.016783119
160;738930.776014362;5864256.856405719
161;738977.8530270185;5864265.236671182
162;738911.6735897418;5864250.87050671
163;738871.5429133108;5864922.335834734
164;738044.3723050223;5862881.3877871325
165;737887.6567258836;5862529.770067621
166;737835.4924124979;5862410.755718107
167;737839.6780253517;5862423.0485091675
168;737762.6449377226;5862157.447175005
169;737757.5353730953;5861985.694515873
170;737732.2881125835;5861977.073814466
171;737538.3250318251;5863554.916200045
172;738617.3337241352;5864353.763824446
173;738528.3783190424;5864791.462161199
174;738575.7336304258;5864537.923220816
175;738613.0033959434;5864536.208286387
176;738646.0318888618;5864454.377181474
177;738621.4191494473;5864457.386378244
178;738714.8607300193;5864525.85397241
179;738702.1480441707;5864399.952961768
180;738647.9020563073;5864682.237769747
181;738621.3189619057;5864579.95539757
182;738726.0038110476;5864753.117789774
183;738716.1743000105;5864819.484398352
184;738681.3535632907;5864760.349816645
185;738712.9571667268;5864968.333806996
186;738804.7846146822;5865033.504754591
187;738408.4093038145;5864716.326765325
188;738385.2214538824;5864722.135012686
189;737529.7422990851;5865281.459710671
190;737557.1157618712;5865269.858660489
191;737473.1586019149;5865312.234118811
192;738052.6767390355;5864686.508998778
